Track :
 realtime: 00000.000
 realtime: 00000.240
 realtime: 00000.480
 realtime: 00000.720
 realtime: 00000.840
 realtime: 00001.080
 realtime: 00001.320
 realtime: 00001.440
 realtime: 00001.680
 realtime: 00001.920
 realtime: 00002.160
 realtime: 00002.400
 realtime: 00002.640
 realtime: 00002.760
 realtime: 00003.000
 realtime: 00003.240
 realtime: 00003.360
 realtime: 00003.600
 realtime: 00003.840
 realtime: 00004.080
 realtime: 00004.320
 realtime: 00004.560
 realtime: 00004.680
 realtime: 00004.920
 realtime: 00005.160
 realtime: 00005.280
 realtime: 00005.520
 realtime: 00005.760
 realtime: 00006.000
 realtime: 00006.240
 realtime: 00006.480
 realtime: 00006.600
 realtime: 00006.840
 realtime: 00007.080
 realtime: 00007.200
 realtime: 00007.440
 realtime: 00007.680
 realtime: 00007.920
 realtime: 00008.160
 realtime: 00008.400
 realtime: 00008.520
 realtime: 00008.760
 realtime: 00009.000
 realtime: 00009.120
 realtime: 00009.360
 realtime: 00009.600
 realtime: 00009.840
 realtime: 00010.080
 realtime: 00010.320
 realtime: 00010.440
 realtime: 00010.680
 realtime: 00010.920
 realtime: 00011.040
 realtime: 00011.280
 realtime: 00011.520
 realtime: 00011.760
 realtime: 00012.000
 realtime: 00012.240
 realtime: 00012.360
 realtime: 00012.600
 realtime: 00012.840
 realtime: 00012.960
 realtime: 00013.200
 realtime: 00013.440
 realtime: 00013.680
 realtime: 00013.920
 realtime: 00014.160
 realtime: 00014.280
 realtime: 00014.520
 realtime: 00014.760
 realtime: 00014.880
 realtime: 00015.120
 realtime: 00015.360
 realtime: 00015.600
 realtime: 00015.840
 realtime: 00016.080
 realtime: 00016.200
 realtime: 00016.440
 realtime: 00016.680
 realtime: 00016.800
 realtime: 00017.040
 realtime: 00017.280
 realtime: 00017.520
 realtime: 00017.760
 realtime: 00018.000
 realtime: 00018.120
 realtime: 00018.360
 realtime: 00018.600
 realtime: 00018.720
 realtime: 00018.960
 realtime: 00019.200
 realtime: 00019.440
 realtime: 00019.680
 realtime: 00019.920
 realtime: 00020.040
 realtime: 00020.280
 realtime: 00020.520
 realtime: 00020.640
 realtime: 00020.880
 realtime: 00021.120
 realtime: 00021.360
 realtime: 00021.600
 realtime: 00021.840
 realtime: 00021.960
 realtime: 00022.200
 realtime: 00022.440
 realtime: 00022.560
 realtime: 00022.800
 realtime: 00023.040
 realtime: 00023.044
 realtime: 00023.160
 realtime: 00023.280
 realtime: 00023.400
 realtime: 00023.520
 realtime: 00023.640
 realtime: 00023.760
 realtime: 00023.880
 realtime: 00024.000
 realtime: 00024.120
 realtime: 00024.240
 realtime: 00024.360
 realtime: 00024.480
 realtime: 00024.600
 realtime: 00024.608
 realtime: 00024.720
 realtime: 00024.728
 realtime: 00024.836
 realtime: 00024.960
 realtime: 00025.080
 realtime: 00025.200
 realtime: 00025.320
 realtime: 00025.440
 realtime: 00025.444
 realtime: 00025.560
 realtime: 00025.680
 realtime: 00025.800
 realtime: 00025.920
 realtime: 00026.040
 realtime: 00026.160
 realtime: 00026.280
 realtime: 00026.400
 realtime: 00026.520
 realtime: 00026.640
 realtime: 00026.760
 realtime: 00026.880
 realtime: 00026.884
 realtime: 00027.000
 realtime: 00027.120
 realtime: 00027.240
 realtime: 00027.360
 realtime: 00027.480
 realtime: 00027.600
 realtime: 00027.720
 realtime: 00027.840
 realtime: 00027.960
 realtime: 00028.080
 realtime: 00028.200
 realtime: 00028.320
 realtime: 00028.440
 realtime: 00028.448
 realtime: 00028.560
 realtime: 00028.568
 realtime: 00028.676
 realtime: 00028.800
 realtime: 00028.920
 realtime: 00029.040
 realtime: 00029.160
 realtime: 00029.280
 realtime: 00029.284
 realtime: 00029.400
 realtime: 00029.520
 realtime: 00029.640
 realtime: 00029.760
 realtime: 00029.880
 realtime: 00030.000
 realtime: 00030.120
 realtime: 00030.240
 realtime: 00030.360
 realtime: 00030.480
 realtime: 00030.600
 realtime: 00030.720
 realtime: 00030.724
 realtime: 00030.840
 realtime: 00030.960
 realtime: 00031.080
 realtime: 00031.200
 realtime: 00031.320
 realtime: 00031.440
 realtime: 00031.560
 realtime: 00031.680
 realtime: 00031.800
 realtime: 00031.920
 realtime: 00032.040
 realtime: 00032.160
 realtime: 00032.280
 realtime: 00032.288
 realtime: 00032.400
 realtime: 00032.408
 realtime: 00032.516
 realtime: 00032.640
 realtime: 00032.760
 realtime: 00032.880
 realtime: 00033.000
 realtime: 00033.120
 realtime: 00033.124
 realtime: 00033.240
 realtime: 00033.360
 realtime: 00033.480
 realtime: 00033.600
 realtime: 00033.720
 realtime: 00033.840
 realtime: 00033.960
 realtime: 00034.080
 realtime: 00034.200
 realtime: 00034.320
 realtime: 00034.440
 realtime: 00034.560
 realtime: 00034.680
 realtime: 00034.800
 realtime: 00035.040
 realtime: 00035.280
 realtime: 00035.400
 realtime: 00035.640
 realtime: 00035.760
 realtime: 00036.000
 realtime: 00036.240
 realtime: 00036.480
 realtime: 00036.720
 realtime: 00036.960
 realtime: 00037.200
 realtime: 00037.320
 realtime: 00037.560
 realtime: 00037.680
 realtime: 00037.920
 realtime: 00038.160
 realtime: 00038.400
 realtime: 00038.640
 realtime: 00038.880
 realtime: 00039.120
 realtime: 00039.240
 realtime: 00039.480
 realtime: 00039.720
 realtime: 00039.840
 realtime: 00040.080
 realtime: 00040.320
 realtime: 00040.560
 realtime: 00040.800
 realtime: 00041.040
 realtime: 00041.160
 realtime: 00041.400
 realtime: 00041.640
 realtime: 00041.760
 realtime: 00042.000
 realtime: 00042.240
 realtime: 00042.480
 realtime: 00042.720
 realtime: 00042.960
 realtime: 00043.080
 realtime: 00043.320
 realtime: 00043.560
 realtime: 00043.680
 realtime: 00043.920
 realtime: 00044.160
 realtime: 00044.400
 realtime: 00044.640
 realtime: 00044.880
 realtime: 00045.000
 realtime: 00045.240
 realtime: 00045.480
 realtime: 00045.600
 realtime: 00045.840
 realtime: 00046.080
 realtime: 00046.320
 realtime: 00046.560
 realtime: 00046.800
 realtime: 00046.920
 realtime: 00047.160
 realtime: 00047.400
 realtime: 00047.520
 realtime: 00047.760
 realtime: 00048.000
 realtime: 00048.240
 realtime: 00048.480
 realtime: 00048.720
 realtime: 00048.840
 realtime: 00049.080
 realtime: 00049.320
 realtime: 00049.440
 realtime: 00049.680
 realtime: 00049.920
 realtime: 00050.160
 realtime: 00050.400
 realtime: 00050.640
 realtime: 00050.760
 realtime: 00051.000
 realtime: 00051.240
 realtime: 00051.360
 realtime: 00051.600
 realtime: 00051.840
 realtime: 00052.080
 realtime: 00052.320
 realtime: 00052.560
 realtime: 00052.680
 realtime: 00052.920
 realtime: 00053.160
 realtime: 00053.280
 realtime: 00053.520
 realtime: 00053.760
 realtime: 00054.000
 realtime: 00054.240
 realtime: 00054.480
 realtime: 00054.600
 realtime: 00054.840
 realtime: 00055.080
 realtime: 00055.200
 realtime: 00055.440
 realtime: 00055.680
 realtime: 00055.920
 realtime: 00056.160
 realtime: 00056.400
 realtime: 00056.520
 realtime: 00056.760
 realtime: 00057.000
 realtime: 00057.120
 realtime: 00057.360
 realtime: 00057.600
 realtime: 00057.840
 realtime: 00058.080
 realtime: 00058.320
 realtime: 00058.440
 realtime: 00058.680
 realtime: 00058.920
 realtime: 00059.040
 realtime: 00059.280
 realtime: 00059.520
 realtime: 00059.760
 realtime: 00060.000
 realtime: 00060.240
 realtime: 00060.360
 realtime: 00060.600
 realtime: 00060.840
 realtime: 00060.960
 realtime: 00061.200
 realtime: 00061.440
 realtime: 00061.680
 realtime: 00061.920
 realtime: 00062.160
 realtime: 00062.280
 realtime: 00062.520
 realtime: 00062.760
 realtime: 00062.880
 realtime: 00063.120
 realtime: 00063.360
 realtime: 00063.600
 realtime: 00063.840
 realtime: 00064.080
 realtime: 00064.200
 realtime: 00064.440
 realtime: 00064.680
 realtime: 00064.800
 realtime: 00065.040
 realtime: 00065.280
 realtime: 00065.520
 realtime: 00065.760
 realtime: 00066.000
 realtime: 00066.120
 realtime: 00066.360
 realtime: 00066.600
 realtime: 00066.720
 realtime: 00066.960
 realtime: 00067.200
 realtime: 00067.440
 realtime: 00067.680
 realtime: 00067.920
 realtime: 00068.040
 realtime: 00068.280
 realtime: 00068.520
 realtime: 00068.640
 realtime: 00068.880
 realtime: 00069.120
 realtime: 00069.124
 realtime: 00069.240
 realtime: 00069.360
 realtime: 00069.480
 realtime: 00069.600
 realtime: 00069.720
 realtime: 00069.840
 realtime: 00069.960
 realtime: 00070.080
 realtime: 00070.200
 realtime: 00070.320
 realtime: 00070.440
 realtime: 00070.560
 realtime: 00070.680
 realtime: 00070.688
 realtime: 00070.800
 realtime: 00070.808
 realtime: 00070.916
 realtime: 00071.040
 realtime: 00071.160
 realtime: 00071.280
 realtime: 00071.400
 realtime: 00071.520
 realtime: 00071.524
 realtime: 00071.640
 realtime: 00071.760
 realtime: 00071.880
 realtime: 00072.000
 realtime: 00072.120
 realtime: 00072.240
 realtime: 00072.360
 realtime: 00072.480
 realtime: 00072.600
 realtime: 00072.720
 realtime: 00072.840
